customer_id,customer_state
cust_000000,MG
cust_000001,SP
cust_000002,SP
cust_000003,SP
cust_000004,RJ
cust_000005,BA
cust_000006,SP
cust_000007,MG
cust_000008,MG
cust_000009,SP
cust_000010,MG
cust_000011,SP
cust_000012,SP
cust_000013,MA
cust_000014,RN
cust_000015,DF
cust_000016,SP
cust_000017,SP
cust_000018,PR
cust_000019,RJ
cust_000020,SP
cust_000021,RJ
cust_000022,SP
cust_000023,CE
cust_000024,SP
cust_000025,RS
cust_000026,SP
cust_000027,MG
cust_000028,MG
cust_000029,SP
cust_000030,AL
cust_000031,BA
cust_000032,MS
cust_000033,CE
cust_000034,MG
cust_000035,PA
cust_000036,SP
cust_000037,SP
cust_000038,SP
cust_000039,SP
cust_000040,SP
cust_000041,SP
cust_000042,DF
cust_000043,SP
cust_000044,SP
cust_000045,MG
cust_000046,SP
cust_000047,BA
cust_000048,SP
cust_000049,RO
cust_000050,BA
cust_000051,SP
cust_000052,SP
cust_000053,DF
cust_000054,PR
cust_000055,SC
cust_000056,BA
cust_000057,SP
cust_000058,SP
cust_000059,SP
cust_000060,ES
cust_000061,MG
cust_000062,SP
cust_000063,SP
cust_000064,SP
cust_000065,SP
cust_000066,SC
cust_000067,RS
cust_000068,PE
cust_000069,RJ
cust_000070,SP
cust_000071,PR
cust_000072,SC
cust_000073,MG
cust_000074,BA
cust_000075,RJ
cust_000076,MG
cust_000077,RJ
cust_000078,SP
cust_000079,SP
cust_000080,SP
cust_000081,RS
cust_000082,SP
cust_000083,RJ
cust_000084,CE
cust_000085,SP
cust_000086,RJ
cust_000087,SC
cust_000088,SP
cust_000089,SP
cust_000090,SP
cust_000091,SP
cust_000092,MT
cust_000093,DF
cust_000094,RS
cust_000095,ES
cust_000096,BA
cust_000097,SP
cust_000098,CE
cust_000099,MG
cust_000100,DF
cust_000101,CE
cust_000102,SP
cust_000103,SP
cust_000104,SP
cust_000105,RJ
cust_000106,DF
cust_000107,ES
cust_000108,SP
cust_000109,RJ
cust_000110,RJ
cust_000111,SP
